Expected_h,Expected_Om,Expected_OL,Expected_Ok,Expected_OQ,Simulated_Om_mean,Simulated_OL_mean,Simulated_Ok_mean,Simulated_OQ_mean,Simulated_H_mean,Simulated_Om_variance,Simulated_OL_variance,Simulated_Ok_variance,Simulated_OQ_variance,Simulated_H_variance
0.6,0.24,0.76,0.0,0.0,0.13280533083663257,0.6478275630889412,0.20256274358306245,0.016804362491363894,0.00021677781100353064,7.151214893110906e-08,3.48146860724919e-08,1.9453985530656658e-07,2.0326256284574174e-10,9.740909514439023e-16
0.6,0.24,0.78,-0.020000000000000018,0.0,0.12390849048058365,0.6708389217355254,0.18989687083517862,0.015355716948712368,0.00021581215811202568,1.2609502967898451e-08,6.517957968336836e-09,3.5518493272096585e-08,5.4338626085674397e-11,1.6865513104560215e-16
0.6,0.24,0.8,-0.040000000000000036,0.0,0.11487175152179936,0.6944998702797778,0.17671920853033946,0.013909169668083574,0.00021480611826854985,3.2366714397874274e-08,2.7852324419593345e-08,1.0885658512641115e-07,3.086884486776047e-10,6.662031729787774e-16
0.6,0.26,0.6,0.14,0.0,0.19207107248794522,0.47844966303409164,0.3011137447169896,0.028365519760973616,0.0002241275476806878,9.231146937061378e-08,1.7638057829237097e-08,1.725483241656663e-07,7.346158587366132e-10,9.677812763523785e-16
0.6,0.26,0.62,0.12,0.0,0.18538829854600597,0.4982324243845448,0.2894531378731194,0.026926139196329867,0.00022326342638035156,3.929117596378659e-08,7.483923866449544e-09,7.576717044195e-08,1.5317397553407604e-10,3.756331518594699e-16
0.6,0.26,0.64,0.09999999999999998,0.0,0.1786992377577611,0.5184128238832652,0.27738201237250915,0.0255059259864646,0.0002223769982316798,1.2387664034607546e-07,2.899754577076881e-08,2.507727384312054e-07,7.362836680768235e-10,1.3346116030401373e-15
0.6,0.26,0.66,0.07999999999999996,0.0,0.17179192606473787,0.5389981368080774,0.2651519303562716,0.02405800677091311,0.0002214706005215455,1.3153575208800185e-07,3.766409823097002e-08,2.822179478112004e-07,6.551256933044856e-10,1.5888142050800003e-15
0.6,0.26,0.68,0.05999999999999994,0.0,0.16444866055000484,0.5598293624325607,0.2530793220210424,0.02264265499639208,0.00022057909588272533,2.084355480905646e-08,4.500621538686189e-09,4.432879850544172e-08,2.038078348350685e-12,1.7465079485641545e-16
0.6,0.26,0.7,0.040000000000000036,0.0,0.1566939295863505,0.5810336016851064,0.24108268019118828,0.02118978853735477,0.00021967778523428026,1.1407699207714336e-07,3.9408582956014765e-08,2.6638442274066735e-07,4.590853946766126e-10,1.4092780549161676e-15
0.6,0.26,0.72,0.020000000000000018,0.0,0.14881149917781825,0.6026725862384704,0.2287590360665095,0.019756878517201915,0.00021875765950840048,4.7266581941992154e-08,2.233233671011866e-08,1.2085198201070932e-07,4.0382625042867243e-10,7.356639233519361e-16
0.6,0.26,0.74,0.0,0.0,0.14064120361800697,0.6247840046748119,0.21627223328326176,0.018302558423919542,0.00021781543874791989,1.1756628175808358e-07,6.01937309517472e-08,3.144400499488984e-07,8.358632548001058e-10,1.829717624549328e-15
0.6,0.26,0.76,-0.020000000000000018,0.0,0.1319870071707002,0.6471937934045229,0.2039481174996725,0.01687108192510444,0.00021688392158170842,1.3684325757580858e-08,8.020834664100892e-09,3.899003164849786e-08,1.0913209585102587e-10,2.2520750818858403e-16
